,GC-raw,rep-GC,rep-raw
HG00096,0.02,0.018,0.027
HG00097,0.024,0.027,0.038
HG00099,0.023,0.032,0.04
HG00100,0.018,0.019,0.026
HG00101,0.024,0.019,0.029
HG00102,0.021,0.021,0.03
HG00103,0.027,0.026,0.038
HG00105,0.018,0.021,0.025
HG00106,0.01,0.017,0.023
HG00107,0.019,0.019,0.028
HG00108,0.018,0.02,0.029
HG00109,0.016,0.023,0.027
HG00110,0.026,0.02,0.031
HG00111,0.025,0.033,0.041
HG00112,0.02,0.017,0.025
HG00113,0.023,0.019,0.029
HG00114,0.018,0.019,0.027
HG00115,0.02,0.021,0.03
HG00116,0.016,0.019,0.024
HG00117,0.021,0.017,0.027
HG00118,0.018,0.017,0.024
HG00119,0.015,0.027,0.033
HG00120,0.022,0.019,0.027
HG00121,0.02,0.019,0.03
HG00122,0.026,0.019,0.032
HG00123,0.022,0.018,0.028
HG00125,0.019,0.02,0.026
HG00126,0.032,0.035,0.05
HG00127,0.023,0.016,0.027
HG00128,0.027,0.016,0.031
HG00129,0.009,0.021,0.023
HG00130,0.009,0.021,0.026
HG00131,0.009,0.01,0.016
HG00132,0.031,0.028,0.041
HG00133,0.024,0.019,0.03
HG00136,0.023,0.021,0.033
HG00137,0.016,0.018,0.021
HG00138,0.021,0.018,0.027
HG00139,0.018,0.019,0.026
HG00140,0.029,0.024,0.039
HG00141,0.008,0.017,0.018
HG00142,0.024,0.025,0.036
HG00143,0.012,0.026,0.029
HG00145,0.034,0.02,0.039
HG00146,0.021,0.015,0.026
HG00148,0.021,0.011,0.023
HG00149,0.03,0.027,0.04
HG00150,0.021,0.023,0.032
HG00151,0.019,0.026,0.034
HG00154,0.026,0.026,0.035
HG00155,0.026,0.021,0.033
HG00157,0.028,0.028,0.04
HG00158,0.022,0.027,0.036
HG00159,0.017,0.02,0.028
HG00160,0.018,0.023,0.03
HG00171,0.016,0.016,0.021
HG00173,0.025,0.019,0.031
HG00174,0.01,0.019,0.026
HG00176,0.028,0.028,0.04
HG00177,0.02,0.018,0.026
HG00178,0.024,0.019,0.03
HG00179,0.017,0.018,0.023
HG00180,0.025,0.018,0.03
HG00181,0.018,0.019,0.028
HG00182,0.009,0.01,0.017
HG00183,0.026,0.018,0.029
HG00185,0.024,0.026,0.034
HG00186,0.01,0.017,0.02
HG00187,0.009,0.017,0.022
HG00188,0.027,0.02,0.033
HG00189,0.031,0.021,0.035
HG00190,0.017,0.024,0.029
HG00231,0.02,0.023,0.032
HG00232,0.02,0.025,0.031
HG00233,0.016,0.023,0.029
HG00234,0.009,0.023,0.027
HG00235,0.025,0.02,0.031
HG00236,0.018,0.015,0.023
HG00237,0.027,0.013,0.029
HG00238,0.012,0.022,0.03
HG00239,0.025,0.026,0.036
HG00240,0.023,0.031,0.041
HG00242,0.016,0.026,0.031
HG00243,0.024,0.031,0.041
