adjustment-type,GC,GC,GC,GC+replication,GC+replication,GC+replication
window-size (# of bins),1,10,100,1,10,100
HG00096,7.46,2.81,1.85,7.36,2.4,1.04
HG00097,7.69,3.28,2.51,7.49,2.53,1.22
HG00099,7.59,3.64,3.02,7.26,2.56,1.38
HG00100,7.55,2.8,1.81,7.47,2.41,1.01
HG00101,7.47,2.82,1.87,7.37,2.41,1.07
HG00102,7.55,2.89,1.96,7.43,2.41,1.02
HG00103,7.67,3.2,2.42,7.5,2.53,1.27
HG00105,7.7,2.87,1.88,7.61,2.45,1.05
HG00106,7.3,2.75,1.81,7.19,2.34,0.99
HG00107,7.51,2.83,1.87,7.4,2.39,1.02
HG00108,7.59,3.0,2.13,7.45,2.46,1.13
HG00109,7.46,3.05,2.23,7.3,2.42,1.11
HG00110,7.61,2.93,2.01,7.49,2.46,1.09
HG00111,7.94,3.69,3.01,7.69,2.82,1.66
HG00112,7.5,2.65,1.54,7.42,2.36,0.92
HG00113,7.63,2.74,1.67,7.55,2.4,0.95
HG00114,7.5,2.89,1.96,7.35,2.37,0.98
HG00115,7.73,2.94,1.99,7.6,2.45,1.03
HG00116,7.0,2.82,1.98,6.84,2.27,1.0
HG00117,7.23,2.8,1.9,7.11,2.36,1.08
HG00118,7.38,2.77,1.8,7.3,2.41,1.07
HG00119,7.65,3.42,2.71,7.39,2.56,1.33
HG00120,7.24,2.82,1.94,7.12,2.36,1.07
HG00121,7.54,2.86,1.92,7.42,2.41,1.03
HG00122,7.4,2.79,1.86,7.29,2.36,0.99
HG00123,7.55,2.75,1.71,7.49,2.46,1.12
HG00125,7.66,2.83,1.83,7.57,2.45,1.04
HG00126,7.58,4.01,3.5,7.13,2.64,1.52
HG00127,7.37,2.71,1.7,7.3,2.41,1.09
HG00128,7.16,2.89,1.97,7.06,2.54,1.32
HG00129,7.73,2.93,1.96,7.57,2.44,1.01
HG00130,7.66,2.99,2.07,7.54,2.46,1.08
HG00131,7.38,2.5,1.28,7.32,2.31,0.87
HG00132,7.69,3.24,2.48,7.49,2.47,1.14
HG00133,6.8,2.94,2.23,6.61,2.33,1.23
HG00136,7.56,2.91,1.99,7.44,2.4,0.99
HG00137,7.5,2.73,1.68,7.43,2.41,1.01
HG00138,7.48,2.85,1.91,7.38,2.46,1.17
HG00139,7.42,2.83,1.89,7.31,2.38,1.03
HG00140,7.59,3.11,2.31,7.42,2.48,1.19
HG00141,7.47,2.73,1.69,7.39,2.4,1.02
