,1kg gender,x-coverage,y-coverage
HG00096,male,1.0,0.98
HG00097,female,1.98,0.0
HG00099,female,1.98,0.0
HG00100,female,1.98,0.0
HG00101,male,1.0,1.0
HG00102,female,2.0,0.0
HG00103,male,1.02,1.0
HG00105,male,1.0,1.02
HG00106,female,1.98,0.0
HG00107,male,1.0,1.02
HG00108,male,1.0,1.0
HG00109,male,1.02,1.0
HG00110,female,1.98,0.0
HG00111,female,1.98,0.0
HG00112,male,1.0,1.0
HG00113,male,1.0,1.0
HG00114,male,1.0,1.0
HG00115,male,1.02,1.02
HG00116,male,1.0,1.0
HG00117,male,1.0,0.98
HG00118,female,1.92,0.0
HG00119,male,1.02,1.0
HG00120,female,1.98,0.0
HG00121,female,2.0,0.0
HG00122,female,1.98,0.0
HG00123,female,1.98,0.0
HG00125,female,1.98,0.0
HG00126,male,1.02,0.98
HG00127,female,1.98,0.0
HG00128,female,1.98,0.0
HG00129,male,1.0,1.0
HG00130,female,1.96,0.0
HG00131,male,1.0,1.0
HG00132,female,1.98,0.0
HG00133,female,1.92,0.0
HG00136,male,1.02,1.02
HG00137,female,1.98,0.0
HG00138,male,1.0,1.0
HG00139,male,1.0,0.82
HG00140,male,1.02,1.0
HG00141,male,1.0,1.0
HG00142,male,0.98,0.92
HG00143,male,1.0,1.02
HG00145,male,1.02,1.0
HG00146,female,1.98,0.0
HG00148,male,1.0,1.0
HG00149,male,1.02,1.0
HG00150,female,1.98,0.0
HG00151,male,1.02,1.0
HG00154,female,1.36,0.0
HG00155,male,1.02,0.94
HG00157,male,1.02,1.0
HG00158,female,1.98,0.0
HG00159,male,1.0,0.88
HG00160,male,1.02,1.02
HG00171,female,1.96,0.0
HG00173,female,1.98,0.0
HG00174,female,1.88,0.0
HG00176,female,1.82,0.0
HG00177,female,1.98,0.0
HG00178,female,1.98,0.0
HG00179,female,1.98,0.0
HG00180,female,1.98,0.0
HG00181,male,1.02,1.0
HG00182,male,1.0,1.0
HG00183,male,1.0,0.98
HG00185,male,1.02,0.78
HG00186,male,1.0,1.0
HG00187,male,1.0,0.88
HG00188,male,1.0,1.0
HG00189,male,1.0,0.98
HG00190,male,1.0,1.0
HG00231,female,1.98,0.0
HG00232,female,1.96,0.0
HG00233,female,1.98,0.0
HG00234,male,1.02,1.0
HG00235,female,1.96,0.0
HG00236,female,1.96,0.0
HG00237,female,1.92,0.0
HG00238,female,1.98,0.0
HG00239,female,1.96,0.0
HG00240,female,1.98,0.0
HG00242,male,1.02,0.98
HG00243,male,1.02,1.0
HG00244,male,1.0,0.82
HG00245,female,1.98,0.0
HG00246,male,1.0,0.32
HG00250,female,1.94,0.0
HG00251,male,1.0,0.98
HG00252,male,1.0,0.98
HG00253,female,1.98,0.0
HG00254,female,1.98,0.0
HG00255,female,1.96,0.0
HG00256,male,1.0,1.0
HG00257,female,1.98,0.0
HG00258,female,2.0,0.0
HG00259,female,1.98,0.0
HG00260,male,1.0,1.0
HG00261,female,2.2,0.0
