Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
HG03520,NG109,F,ESN,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281796/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955423,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03520,NA,1kg_phase3;1kg_GRCh38
HG03521,NG109,M,ESN,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283478/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955529,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03521,NA,1kg_phase3;1kg_GRCh38
HG02973,NG23,M,ESN,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284629/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955524,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02973,NA,1kg_phase3;1kg_GRCh38
HG02974,NG23,F,ESN,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282578/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955438,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02974,NA,1kg_phase3;1kg_GRCh38
HG03099,NG26,F,ESN,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/281793/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955419,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03099,NA,1kg_phase3;1kg_GRCh38
HG03100,NG26,M,ESN,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284633/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955398,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03100,NA,1kg_phase3;1kg_GRCh38
HG03120,NG33,M,ESN,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283472/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955487,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03120,NA,1kg_phase3;1kg_GRCh38
HG03121,NG33,F,ESN,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283473/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955462,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03121,NA,1kg_phase3;1kg_GRCh38
HG03129,NG36,F,ESN,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284634/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955431,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03129,NA,1kg_phase3;1kg_GRCh38
HG03130,NG36,M,ESN,AFR,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283474/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955515,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03130,NA,1kg_phase3;1kg_GRCh38
