Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
HG03522,NG109,F,ESN,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304566,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03522,NA,
HG02975,NG23,M,ESN,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304571,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02975,NA,
HG03101,NG26,M,ESN,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304596,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03101,NA,
HG03122,NG33,M,ESN,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304574,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03122,NA,
HG03131,NG36,M,ESN,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304558,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03131,NA,
HG03170,NG49,M,ESN,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304561,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03170,NA,
HG03302,NG75,M,ESN,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304572,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03302,NA,
HG03308,NG77,M,ESN,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304575,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03308,NA,
HG03041,GB110,F,GWD,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304589,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03041,NA,
HG02563,GB18,M,GWD,AFR,NHGRI,NA,https://www.ebi.ac.uk/ena/data/view/ERR2304592,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02563,NA,
