Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
NA18484,Y001,F,YRI,AFR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955349,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595641",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18484,NA,GeT-RM PGx 28;1kg_phase3
NA19109,Y006,F,YRI,AFR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955374,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595666",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19109,NA,GeT-RM PGx 28;1kg_phase3
NA18868,Y007,M,YRI,AFR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955363,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595655",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18868,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18509,Y010,M,YRI,AFR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955350,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595642",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18509,NA,GeT-RM PGx 28;1kg_phase3
NA18518,Y014,F,YRI,AFR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955351,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595643",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18518,NA,GeT-RM PGx 28;1kg_phase3
NA18519,Y014,M,YRI,AFR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955352,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595644",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18519,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA18855,Y023,F,YRI,AFR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955361,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595653",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18855,NA,GeT-RM PGx 28;1kg_phase3
NA18861,Y024,F,YRI,AFR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955362,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595654",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18861,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
NA19178,Y038,M,YRI,AFR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955380,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595672",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19178,NA,GeT-RM PGx 28
NA19095,Y041,F,YRI,AFR,NHGRI,NA,"HiSeqX=https://www.ebi.ac.uk/ena/data/view/ERR1955373,10x=https://www.ebi.ac.uk/ena/data/view/ERR2595665",https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19095,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38
