Sample ID,Family ID,Sex,Population,Superpopulation,Repository,Description,Affected,References,Link
HG02973,NG23,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02973"",""HG02973"")"
HG02974,NG23,F,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02974"",""HG02974"")"
HG03099,NG26,F,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03099"",""HG03099"")"
HG03100,NG26,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03100"",""HG03100"")"
HG03120,NG33,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03120"",""HG03120"")"
HG03121,NG33,F,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03121"",""HG03121"")"
HG03129,NG36,F,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03129"",""HG03129"")"
HG03130,NG36,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03130"",""HG03130"")"
HG03168,NG49,F,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03168"",""HG03168"")"
HG03169,NG49,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03169"",""HG03169"")"
HG03300,NG75,F,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03300"",""HG03300"")"
HG03301,NG75,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03301"",""HG03301"")"
HG03306,NG77,F,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03306"",""HG03306"")"
HG03307,NG77,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03307"",""HG03307"")"
HG03520,NG109,F,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03520"",""HG03520"")"
HG03521,NG109,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA;1000 GENOMES PROJECT - PANEL OF 111 ESAN FROM NIGERIA,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03521"",""HG03521"")"
HG02561,GB18,M,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA;1000 GENOMES PROJECT - PANEL OF 120 GAMBIAN IN WESTERN DIVISION,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02561"",""HG02561"")"
HG02562,GB18,F,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA;1000 GENOMES PROJECT - PANEL OF 120 GAMBIAN IN WESTERN DIVISION,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02562"",""HG02562"")"
HG02620,GB31,M,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA;1000 GENOMES PROJECT - PANEL OF 120 GAMBIAN IN WESTERN DIVISION,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02620"",""HG02620"")"
HG02621,GB31,F,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA;1000 GENOMES PROJECT - PANEL OF 120 GAMBIAN IN WESTERN DIVISION,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02621"",""HG02621"")"
HG02721,GB52,M,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA;1000 GENOMES PROJECT - PANEL OF 120 GAMBIAN IN WESTERN DIVISION,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02721"",""HG02721"")"
HG02722,GB52,F,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA;1000 GENOMES PROJECT - PANEL OF 120 GAMBIAN IN WESTERN DIVISION,NA,1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02722"",""HG02722"")"
