Sample ID,Family ID,Sex,Population,Superpopulation,Repository,Description,Affected,References,Link
NA18484,Y001,F,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II),NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18484"",""NA18484"")"
NA18509,Y010,M,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II),NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18509"",""NA18509"")"
NA18518,Y014,F,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II),NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18518"",""NA18518"")"
NA18519,Y014,M,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II);1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN- NIGERIA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18519"",""NA18519"")"
NA18855,Y023,F,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE I);CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19;1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN- NIGERIA,NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18855"",""NA18855"")"
NA18861,Y024,F,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE I);CYTOCHROME P450- SUBFAMILY IIC- POLYPEPTIDE 19; CYP2C19;1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN- NIGERIA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18861"",""NA18861"")"
NA18868,Y007,M,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II);1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN- NIGERIA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18868"",""NA18868"")"
NA19095,Y041,F,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II);1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN- NIGERIA,NA,GeT-RM PGx 28;1kg_phase3;1kg_GRCh38,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19095"",""NA19095"")"
NA19109,Y006,F,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II),NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19109"",""NA19109"")"
NA19122,Y061,F,YRI,AFR,NHGRI,INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA;INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN- NIGERIA (PLATE II);1000 GENOMES PROJECT - PANEL OF 120 YORUBA IN IBADAN- NIGERIA,NA,GeT-RM PGx 28;1kg_phase3,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA19122"",""NA19122"")"
