Sample ID,Family ID,Sex,Population,Superpopulation,Repository,Description,Affected,References,Link
HG02975,NG23,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02975"",""HG02975"")"
HG03101,NG26,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03101"",""HG03101"")"
HG03122,NG33,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03122"",""HG03122"")"
HG03131,NG36,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03131"",""HG03131"")"
HG03170,NG49,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03170"",""HG03170"")"
HG03302,NG75,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03302"",""HG03302"")"
HG03308,NG77,M,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03308"",""HG03308"")"
HG03522,NG109,F,ESN,AFR,NHGRI,1000 GENOMES PROJECT - ESAN FROM NIGERIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG03522"",""HG03522"")"
HG02563,GB18,M,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02563"",""HG02563"")"
HG02622,GB31,F,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02622"",""HG02622"")"
HG02723,GB52,F,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02723"",""HG02723"")"
HG02770,GB57,F,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02770"",""HG02770"")"
HG02773,GB58,M,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02773"",""HG02773"")"
HG02853,GB78,M,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02853"",""HG02853"")"
HG02984,GB97,M,GWD,AFR,NHGRI,1000 GENOMES PROJECT - GAMBIAN IN WESTERN DIVISION- THE GAMBIA,NA,,"=HYPERLINK(""https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02984"",""HG02984"")"
